Folder,Model,Custom_metric
8,cb:0.8-cf:0.2,0.3206333333333335
8,cb:0.9-cf:0.1,0.27137222222222224
8,cb:1.0-cf:0.0,0.19163333333333324
9,cb:0.0-cf:1.0,0.39337222222222235
9,cb:0.1-cf:0.9,0.395288888888889
9,cb:0.2-cf:0.8,0.3957611111111112
9,cb:0.30000000000000004-cf:0.7000000000000001,0.39543888888888895
9,cb:0.4-cf:0.6000000000000001,0.39270000000000005
9,cb:0.5-cf:0.5,0.39194444444444443
9,cb:0.6000000000000001-cf:0.4,0.38307222222222237
9,cb:0.7000000000000001-cf:0.30000000000000004,0.358866666666667
9,cb:0.8-cf:0.2,0.3213000000000003
9,cb:0.9-cf:0.1,0.2730833333333336
9,cb:1.0-cf:0.0,0.19222777777777775
10,cb:0.0-cf:1.0,0.40131666666666643
10,cb:0.1-cf:0.9,0.40289999999999987
10,cb:0.2-cf:0.8,0.40076111111111096
10,cb:0.30000000000000004-cf:0.7000000000000001,0.4038055555555554
10,cb:0.4-cf:0.6000000000000001,0.40263888888888877
10,cb:0.5-cf:0.5,0.3996111111111111
10,cb:0.6000000000000001-cf:0.4,0.3887944444444445
10,cb:0.7000000000000001-cf:0.30000000000000004,0.3626500000000001
10,cb:0.8-cf:0.2,0.33098333333333363
10,cb:0.9-cf:0.1,0.2762722222222224
10,cb:1.0-cf:0.0,0.19726666666666673
11,cb:0.0-cf:1.0,0.39978333333333355
11,cb:0.1-cf:0.9,0.4002000000000002
11,cb:0.2-cf:0.8,0.39541111111111127
11,cb:0.30000000000000004-cf:0.7000000000000001,0.3921111111111114
11,cb:0.4-cf:0.6000000000000001,0.389455555555556
11,cb:0.5-cf:0.5,0.38963333333333366
11,cb:0.6000000000000001-cf:0.4,0.3820388888888892
11,cb:0.7000000000000001-cf:0.30000000000000004,0.35020000000000034
11,cb:0.8-cf:0.2,0.3118833333333337
11,cb:0.9-cf:0.1,0.26902222222222233
11,cb:1.0-cf:0.0,0.19357777777777763
12,cb:0.0-cf:1.0,0.3951555555555558
12,cb:0.1-cf:0.9,0.3968500000000003
12,cb:0.2-cf:0.8,0.3936555555555559
12,cb:0.30000000000000004-cf:0.7000000000000001,0.3960333333333337
12,cb:0.4-cf:0.6000000000000001,0.3946833333333337
12,cb:0.5-cf:0.5,0.3912055555555559
12,cb:0.6000000000000001-cf:0.4,0.38387777777777804
12,cb:0.7000000000000001-cf:0.30000000000000004,0.3567444444444447
12,cb:0.8-cf:0.2,0.31780000000000036
12,cb:0.9-cf:0.1,0.2703444444444445
12,cb:1.0-cf:0.0,0.19773888888888885
13,cb:0.0-cf:1.0,0.40045555555555573
13,cb:0.1-cf:0.9,0.4013166666666668
13,cb:0.2-cf:0.8,0.3980500000000002
13,cb:0.30000000000000004-cf:0.7000000000000001,0.39938333333333365
13,cb:0.4-cf:0.6000000000000001,0.3952722222222226
13,cb:0.5-cf:0.5,0.39316111111111135
13,cb:0.6000000000000001-cf:0.4,0.3834000000000001
13,cb:0.7000000000000001-cf:0.30000000000000004,0.35857222222222246
13,cb:0.8-cf:0.2,0.319266666666667
13,cb:0.9-cf:0.1,0.2680111111111113
13,cb:1.0-cf:0.0,0.19438333333333324
14,cb:0.0-cf:1.0,0.40476111111111124
14,cb:0.1-cf:0.9,0.40923333333333356
14,cb:0.2-cf:0.8,0.4078166666666668
14,cb:0.30000000000000004-cf:0.7000000000000001,0.4120277777777779
14,cb:0.4-cf:0.6000000000000001,0.41097222222222235
14,cb:0.5-cf:0.5,0.40853333333333336
14,cb:0.6000000000000001-cf:0.4,0.39766111111111124
14,cb:0.7000000000000001-cf:0.30000000000000004,0.3723666666666668
14,cb:0.8-cf:0.2,0.3329055555555561
14,cb:0.9-cf:0.1,0.2810111111111113
14,cb:1.0-cf:0.0,0.19794444444444442
15,cb:0.0-cf:1.0,0.3997833333333333
15,cb:0.1-cf:0.9,0.4015888888888889
15,cb:0.2-cf:0.8,0.3992444444444445
15,cb:0.30000000000000004-cf:0.7000000000000001,0.3995888888888889
15,cb:0.4-cf:0.6000000000000001,0.39689444444444444
15,cb:0.5-cf:0.5,0.39088333333333336
15,cb:0.6000000000000001-cf:0.4,0.37738333333333335
15,cb:0.7000000000000001-cf:0.30000000000000004,0.3551111111111114
15,cb:0.8-cf:0.2,0.31832222222222256
15,cb:0.9-cf:0.1,0.2682555555555557
15,cb:1.0-cf:0.0,0.19747777777777775
16,cb:0.0-cf:1.0,0.3912222222222225
16,cb:0.1-cf:0.9,0.3935555555555558
16,cb:0.2-cf:0.8,0.39188888888888923
16,cb:0.30000000000000004-cf:0.7000000000000001,0.3936444444444447
16,cb:0.4-cf:0.6000000000000001,0.38872777777777795
16,cb:0.5-cf:0.5,0.38727777777777805
16,cb:0.6000000000000001-cf:0.4,0.37626666666666686
16,cb:0.7000000000000001-cf:0.30000000000000004,0.35102222222222274
16,cb:0.8-cf:0.2,0.31546111111111147
16,cb:0.9-cf:0.1,0.270288888888889
16,cb:1.0-cf:0.0,0.1919055555555555
17,cb:0.0-cf:1.0,0.4011277777777776
17,cb:0.1-cf:0.9,0.40243333333333314
17,cb:0.2-cf:0.8,0.401461111111111
17,cb:0.30000000000000004-cf:0.7000000000000001,0.40188888888888874
17,cb:0.4-cf:0.6000000000000001,0.3984277777777777
17,cb:0.5-cf:0.5,0.3966944444444443
17,cb:0.6000000000000001-cf:0.4,0.3841277777777777
17,cb:0.7000000000000001-cf:0.30000000000000004,0.3575277777777779
17,cb:0.8-cf:0.2,0.32230000000000036
17,cb:0.9-cf:0.1,0.27258333333333346
17,cb:1.0-cf:0.0,0.20291666666666666
18,cb:0.0-cf:1.0,0.402027777777778
18,cb:0.1-cf:0.9,0.40380555555555575
18,cb:0.2-cf:0.8,0.4018888888888891
18,cb:0.30000000000000004-cf:0.7000000000000001,0.40063888888888916
18,cb:0.4-cf:0.6000000000000001,0.3972500000000003
18,cb:0.5-cf:0.5,0.39258333333333373
18,cb:0.6000000000000001-cf:0.4,0.3855833333333336
18,cb:0.7000000000000001-cf:0.30000000000000004,0.36097222222222247
18,cb:0.8-cf:0.2,0.3292777777777781
18,cb:0.9-cf:0.1,0.28537777777777795
18,cb:1.0-cf:0.0,0.20598333333333332
19,cb:0.0-cf:1.0,0.4012944444444444
19,cb:0.1-cf:0.9,0.404461111111111
19,cb:0.2-cf:0.8,0.40082222222222225
19,cb:0.30000000000000004-cf:0.7000000000000001,0.4033944444444444
19,cb:0.4-cf:0.6000000000000001,0.4006722222222222
19,cb:0.5-cf:0.5,0.3966444444444445
19,cb:0.6000000000000001-cf:0.4,0.3818944444444447
19,cb:0.7000000000000001-cf:0.30000000000000004,0.36025000000000024
19,cb:0.8-cf:0.2,0.3232166666666669
19,cb:0.9-cf:0.1,0.2730166666666668
19,cb:1.0-cf:0.0,0.19164999999999988
20,cb:0.0-cf:1.0,0.3981611111111115
20,cb:0.1-cf:0.9,0.40280000000000027
20,cb:0.2-cf:0.8,0.39906111111111137
20,cb:0.30000000000000004-cf:0.7000000000000001,0.4021722222222224
20,cb:0.4-cf:0.6000000000000001,0.4002666666666669
20,cb:0.5-cf:0.5,0.3971722222222223
20,cb:0.6000000000000001-cf:0.4,0.3858000000000002
20,cb:0.7000000000000001-cf:0.30000000000000004,0.35925555555555594
20,cb:0.8-cf:0.2,0.3218388888888893
20,cb:0.9-cf:0.1,0.27538333333333354
20,cb:1.0-cf:0.0,0.19873333333333323
21,cb:0.0-cf:1.0,0.40838333333333343
