Folder,Corpus,Custom_metric
47,description_course,0.14446666666666658
48,html_course,0.1876555555555554
48,all_description_lesson,0.17342222222222212
48,description_course,0.1578722222222222
49,html_course,0.19177222222222223
49,all_description_lesson,0.17789999999999978
49,description_course,0.1529222222222221
50,html_course,0.19273333333333328
50,all_description_lesson,0.18065555555555546
50,description_course,0.1611499999999999
51,html_course,0.1848111111111109
51,all_description_lesson,0.17336111111111097
51,description_course,0.1640222222222221
52,html_course,0.18970555555555543
52,all_description_lesson,0.17551111111111087
52,description_course,0.15579444444444437
53,html_course,0.19602777777777775
53,all_description_lesson,0.17186666666666645
53,description_course,0.1624499999999999
54,html_course,0.18378888888888878
54,all_description_lesson,0.17151666666666646
54,description_course,0.15652777777777768
55,html_course,0.19104444444444438
55,all_description_lesson,0.17721111111111096
55,description_course,0.15651666666666655
56,html_course,0.18471666666666658
56,all_description_lesson,0.17658333333333304
56,description_course,0.15355555555555547
57,html_course,0.18648888888888876
57,all_description_lesson,0.17943333333333317
57,description_course,0.1585499999999999
58,html_course,0.1795833333333332
58,all_description_lesson,0.17177777777777764
58,description_course,0.14735555555555543
59,html_course,0.18725555555555548
59,all_description_lesson,0.17208888888888874
59,description_course,0.16030555555555545
60,html_course,0.18941111111111109
60,all_description_lesson,0.17488888888888873
60,description_course,0.15613333333333324
61,html_course,0.1801666666666666
61,all_description_lesson,0.17018888888888872
61,description_course,0.1527166666666666
62,html_course,0.18716111111111103
62,all_description_lesson,0.18050555555555547
62,description_course,0.1590388888888888
63,html_course,0.17827222222222214
63,all_description_lesson,0.16866111111111093
63,description_course,0.1571222222222221
64,html_course,0.18364999999999998
64,all_description_lesson,0.17762222222222215
64,description_course,0.16341666666666652
65,html_course,0.17851666666666655
65,all_description_lesson,0.17159999999999986
65,description_course,0.1655222222222221
66,html_course,0.1838722222222221
66,all_description_lesson,0.16711666666666647
66,description_course,0.15024444444444432
67,html_course,0.18433333333333318
67,all_description_lesson,0.17273333333333316
67,description_course,0.15531111111111104
68,html_course,0.18863333333333318
68,all_description_lesson,0.18124444444444426
68,description_course,0.15435555555555544
69,html_course,0.19612777777777773
69,all_description_lesson,0.18173888888888876
69,description_course,0.16673888888888877
70,html_course,0.18347222222222218
70,all_description_lesson,0.17236111111111097
70,description_course,0.15387222222222216
71,html_course,0.18247222222222217
71,all_description_lesson,0.17454444444444428
71,description_course,0.1531999999999999
72,html_course,0.18745555555555538
72,all_description_lesson,0.18126666666666658
72,description_course,0.15624444444444432
73,html_course,0.18307777777777767
73,all_description_lesson,0.17278333333333315
73,description_course,0.14266111111111096
74,html_course,0.18860555555555542
74,all_description_lesson,0.17457777777777764
74,description_course,0.15703888888888878
75,html_course,0.1801722222222221
75,all_description_lesson,0.16881666666666656
75,description_course,0.1502777777777777
76,html_course,0.18739444444444436
76,all_description_lesson,0.17657222222222207
76,description_course,0.15671111111111102
77,html_course,0.18792777777777778
77,all_description_lesson,0.17421666666666652
77,description_course,0.15321666666666656
78,html_course,0.19143888888888894
78,all_description_lesson,0.1817944444444444
78,description_course,0.16134999999999988
79,html_course,0.19051111111111108
79,all_description_lesson,0.17218333333333313
79,description_course,0.1541333333333332
80,html_course,0.1831777777777776
80,all_description_lesson,0.16860555555555537
80,description_course,0.15846111111111102
81,html_course,0.18307777777777764
81,all_description_lesson,0.16916666666666644
81,description_course,0.15380555555555542
82,html_course,0.19263888888888883
82,all_description_lesson,0.17416666666666653
82,description_course,0.15974444444444438
83,html_course,0.1928277777777778
83,all_description_lesson,0.18275555555555545
83,description_course,0.1620333333333332
84,html_course,0.19551111111111105
84,all_description_lesson,0.17142222222222198
84,description_course,0.16073333333333326
85,html_course,0.1908777777777777
85,all_description_lesson,0.17769444444444427
85,description_course,0.1555722222222221
86,html_course,0.1798944444444443
86,all_description_lesson,0.16916666666666644
86,description_course,0.15699444444444435
87,html_course,0.17979444444444428
87,all_description_lesson,0.16404999999999983
87,description_course,0.155811111111111
88,html_course,0.17953888888888875
88,all_description_lesson,0.17085555555555534
88,description_course,0.15444444444444436
89,html_course,0.18583333333333327
89,all_description_lesson,0.17541111111111096
89,description_course,0.15124444444444438
90,html_course,0.188361111111111
90,all_description_lesson,0.179661111111111
90,description_course,0.16333333333333322
91,html_course,0.19736666666666666
91,all_description_lesson,0.18808888888888897
91,description_course,0.17031666666666656
92,html_course,0.1828833333333332
92,all_description_lesson,0.17282777777777764
92,description_course,0.15540555555555546
93,html_course,0.19199999999999995
93,all_description_lesson,0.17857777777777767
93,description_course,0.1571333333333333
94,html_course,0.19133333333333324
94,all_description_lesson,0.17350555555555539
94,description_course,0.15906666666666655
95,html_course,0.18740555555555546
95,all_description_lesson,0.17186666666666647
95,description_course,0.15802222222222215
96,html_course,0.18051666666666658
96,all_description_lesson,0.17536666666666656
96,description_course,0.16213888888888883
97,html_course,0.1858444444444443
97,all_description_lesson,0.17554444444444428
97,description_course,0.15782222222222214
98,html_course,0.1817277777777776
